País,Latitude,Longitude,Valor
Mexico,23.634501,-102.552784,4541285.26
Netherlands,52.132633,5.291266,2015904.57
Belgium,50.503887,4.469936,1956569.84
Germany,51.165691,10.451526,1352381.72
United States,38.7945952,-106.5348379,805928.27
United Kingdom,55.378051,-3.435973,638786.83
France,46.227638,2.213749,351887.97
Ireland,53.7797554,-7.3055309,344097.18
Czech Republic,49.817492,15.472962,331662.42
Denmark,56.26392,9.501785,276217.41
China,35.86166,104.195397,255317.4
Italy,41.87194,12.56738,253941.16
Spain,40.463667,-3.74922,243165.71
Poland,51.919438,19.145136,206560.25
Russian Federation,61.52401,105.318756,148529.2
Portugal,39.399872,-8.224454,147273.18
"Korea, Rep.",35.907757,127.766922,146229.1
Singapore,1.352083,103.819836,127665.21
Thailand,15.870032,100.992541,127580.08
Canada,56.130366,-106.346771,109260.93
