ciudad ,Impuestos,Alcantarillado y saneamiento,Agua,Cargo fijo,Total
Ciudad de Mexico (Mexico),0,0,9.3,4.5,13.88
Seal (Corea del Sur),0,4.7,8/,1.1,14.02
Roma (Italia),2.7,15.7,8.9,2.5,29.9
Lisboa (Portugal),1.1,8.4,13.1,9.9,32.64
Madrid (Espana),3,8.8,10.4,10.8,32.98
Tokio (Japon),2.6,8.6,8.4,15.9,35.5
Budapest (HungrIa),8.5,19.6,11.2,0.6,39.94
Estambul (Turqula),2.2,14.1,28.1,0,44.43
Los Angeles (USA),0.2,27,32.1,0,59.28
Londres (Reino Unido),0,20.6,32.8,12.9,66.3
Paris (Francia),4.8,25.6,38,2.3,70.79
Washington DC (USA),0,30.3,28.8,28.1,87.25
Sydney (Australia),0,0,30.7,59.8,90.51
Berlin (Alemania),2.6,47.2,34.6,24.8,109.17
Copenhage (Dinarnarca),22.1,40.6,41.8,5.9,110.34
