name,latitude,longitude,state,firm,hectolitros/año Mill
Monterrey,25.6866,-100.3161,Nuevo León,Heineken,12
Meoqui,28.2719,-105.4744,Chihuahua,Heineken,6
Nava,28.4241,-100.7577,Coahuila,Constellation Brands,20
Obregón,27.4827,-109.93,Sonora,AB InBev,20
Zacatecas,22.7709,-102.5833,Zacatecas,AB InBev,24
Veracruz ,19.1687856,-96.2323181,Veracruz,Constellation Brands,10
Mazatlán,23.2494,-106.4112,Sinaloa,AB InBev,6
Torreón ,25.5428,-103.4068,Coahuila,AB InBev,6
Tuxtepec,18.1053,-96.1295,Oaxaca,AB InBev,3
Tijuana,32.5149,-117.0382,BC,AB InBev,6
Tecate,32.5702,-116.6064,BC,AB InBev,3
Guadalajara ,20.6597,-103.3496,Jalisco,AB InBev,7
Ápan,19.9515,-98.6847,Hidalgo,AB InBev,2
CDMX,19.4326,-99.1332,CDMX,AB InBev,5
Hunucmá,21.0231,-89.7272,Yucatán,AB InBev,1.5
