id,ciudad,d,c,i
1,Acapulco,20,42.77,-
2,Aguascalientes,27.32,40.71,52.33
3,Atizapán,27.09,53.83,-
4,Cancún,60.92,90.57,33.55
5,Chihuahua,17.81,19.7,28.05
6,Ciudad de México,22.98,49.31,49.31
7,Colima,14.02,20.02,17.53
8,Cuernavaca,7.9,9.9,16.53
9,Culiacán,11.88,20.01,24.7
10,Delicias,18.43,25.6,27.03
11,Ensenada,20.27,74.15,74.15
12,Guadalajara,16.81,29.17,30.04
13,Guanajuato,27.2,32.74,75.29
14,Hermosillo,17.84,73.55,73.55
15,Irapuato,20.32,25.22,31.68
16,Juárez,18.75,22.98,23.9
17,La Paz,18.54,41.63,48
18,León,37.21,65.44,66.27
19,Mexicali,6.4,50.53,50.53
20,Morelia,27.66,35.3,46.91
21,Mérida,4.95,6.29,6.29
22,Naucalpan,25.71,42.38,44.41
23,Oaxaca,4.07,5.77,9.1
24,Pachuca de Soto,40.84,37.71,-
25,Puebla,25.71,26.87,26.87
26,Querétaro,30.83,50.98,60.76
27,Reynosa (Ciudad Reynosa),11.34,20.58,24.93
28,Saltillo,16.93,26.03,26.03
29,San Juan del Rio,9.41,18.39,26.06
30,San Luis Potosí,6,18.53,46.33
31,Tepic,22.17,25.63,41.93
32,Tijuana,26.6,79.05,79.05
33,Tlalnepantla de Baz,25.39,49.29,53.21
34,Tlaquepaque,14.3,25.37,27.23
35,Tlaxcala,10.08,51.93,-
36,Toluca,17.3,33.95,33.95
37,Torreón,13.2,36.04,37.23
38,Tula de Allende,7.85,13.65,15.73
39,Tultitlán de Mariano Escobedo,15.22,37.72,37.72
40,Tuxtla Gutiérrez,19.14,25.07,30.87
41,Villahermosa,1.53,6.79,19.78
